"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"07/01/2023 18:00:00 - 07/01/2023 19:00:00","BZN|SE3","Without Sequence","78.38","",""
"07/01/2023 19:00:00 - 07/01/2023 20:00:00","BZN|SE3","Without Sequence","74.39","",""
"07/01/2023 20:00:00 - 07/01/2023 21:00:00","BZN|SE3","Without Sequence","66.98","",""
"07/01/2023 21:00:00 - 07/01/2023 22:00:00","BZN|SE3","Without Sequence","59.99","",""
"07/01/2023 22:00:00 - 07/01/2023 23:00:00","BZN|SE3","Without Sequence","48.80","",""
"07/01/2023 23:00:00 - 08/01/2023 00:00:00","BZN|SE3","Without Sequence","35.90","",""
"08/01/2023 00:00:00 - 08/01/2023 01:00:00","BZN|SE3","Without Sequence","24.44","",""
"08/01/2023 01:00:00 - 08/01/2023 02:00:00","BZN|SE3","Without Sequence","9.30","",""
"08/01/2023 02:00:00 - 08/01/2023 03:00:00","BZN|SE3","Without Sequence","9.10","",""
"08/01/2023 03:00:00 - 08/01/2023 04:00:00","BZN|SE3","Without Sequence","4.16","",""
"08/01/2023 04:00:00 - 08/01/2023 05:00:00","BZN|SE3","Without Sequence","5.58","",""
"08/01/2023 05:00:00 - 08/01/2023 06:00:00","BZN|SE3","Without Sequence","9.92","",""
"08/01/2023 06:00:00 - 08/01/2023 07:00:00","BZN|SE3","Without Sequence","9.02","",""
"08/01/2023 07:00:00 - 08/01/2023 08:00:00","BZN|SE3","Without Sequence","16.47","",""
"08/01/2023 08:00:00 - 08/01/2023 09:00:00","BZN|SE3","Without Sequence","27.08","",""
"08/01/2023 09:00:00 - 08/01/2023 10:00:00","BZN|SE3","Without Sequence","29.08","",""
"08/01/2023 10:00:00 - 08/01/2023 11:00:00","BZN|SE3","Without Sequence","35.22","",""
"08/01/2023 11:00:00 - 08/01/2023 12:00:00","BZN|SE3","Without Sequence","47.00","",""
"08/01/2023 12:00:00 - 08/01/2023 13:00:00","BZN|SE3","Without Sequence","47.00","",""
"08/01/2023 13:00:00 - 08/01/2023 14:00:00","BZN|SE3","Without Sequence","48.96","",""
"08/01/2023 14:00:00 - 08/01/2023 15:00:00","BZN|SE3","Without Sequence","54.91","",""
"08/01/2023 15:00:00 - 08/01/2023 16:00:00","BZN|SE3","Without Sequence","63.49","",""
"08/01/2023 16:00:00 - 08/01/2023 17:00:00","BZN|SE3","Without Sequence","66.11","",""
"08/01/2023 17:00:00 - 08/01/2023 18:00:00","BZN|SE3","Without Sequence","69.19","",""
"08/01/2023 18:00:00 - 08/01/2023 19:00:00","BZN|SE3","Without Sequence","69.91","",""
"08/01/2023 19:00:00 - 08/01/2023 20:00:00","BZN|SE3","Without Sequence","65.62","",""
"08/01/2023 20:00:00 - 08/01/2023 21:00:00","BZN|SE3","Without Sequence","60.98","",""
"08/01/2023 21:00:00 - 08/01/2023 22:00:00","BZN|SE3","Without Sequence","57.41","",""
"08/01/2023 22:00:00 - 08/01/2023 23:00:00","BZN|SE3","Without Sequence","50.02","",""
"08/01/2023 23:00:00 - 09/01/2023 00:00:00","BZN|SE3","Without Sequence","46.29","",""
"09/01/2023 00:00:00 - 09/01/2023 01:00:00","BZN|SE3","Without Sequence","69.04","",""
"09/01/2023 01:00:00 - 09/01/2023 02:00:00","BZN|SE3","Without Sequence","64.38","",""
"09/01/2023 02:00:00 - 09/01/2023 03:00:00","BZN|SE3","Without Sequence","60.28","",""
"09/01/2023 03:00:00 - 09/01/2023 04:00:00","BZN|SE3","Without Sequence","39.41","",""
"09/01/2023 04:00:00 - 09/01/2023 05:00:00","BZN|SE3","Without Sequence","47.34","",""
"09/01/2023 05:00:00 - 09/01/2023 06:00:00","BZN|SE3","Without Sequence","68.99","",""
"09/01/2023 06:00:00 - 09/01/2023 07:00:00","BZN|SE3","Without Sequence","104.56","",""
"09/01/2023 07:00:00 - 09/01/2023 08:00:00","BZN|SE3","Without Sequence","128.36","",""
"09/01/2023 08:00:00 - 09/01/2023 09:00:00","BZN|SE3","Without Sequence","147.32","",""
"09/01/2023 09:00:00 - 09/01/2023 10:00:00","BZN|SE3","Without Sequence","161.06","",""
"09/01/2023 10:00:00 - 09/01/2023 11:00:00","BZN|SE3","Without Sequence","154.14","",""
"09/01/2023 11:00:00 - 09/01/2023 12:00:00","BZN|SE3","Without Sequence","155.31","",""
