Datetime UTC,spread_eur,prob_gain,estimated_gain,spot_eur,spot_fc_eur,imb_eur,expected_cost_eur,v_max,optimal_plan
2024-10-31 07:00:00+00:00,-23.57,0.5334468752711429,-0.10248710412500447,31.57,20.145799086484672,8.0,20.0911276610336,8154.343984000002,0.0
2024-10-31 08:00:00+00:00,-18.49,0.6703937218060363,-0.33772807906086394,26.49,34.271988550747736,8.0,34.04557776686772,130.11946800000007,0.0
2024-10-31 09:00:00+00:00,0.0,0.676568149849078,3.0930993496599326,20.55,29.043128694646008,20.55,31.135821198944814,0.0,0.0
2024-10-31 17:00:00+00:00,0.9900000000000002,0.6143925710141133,2.129955132917569,11.01,12.53719106439862,12.0,13.845819674656553,109.468738,0.0
2024-10-31 18:00:00+00:00,-3.210000000000001,0.7462968321126268,2.4184999759301897,10.21,7.428977803116565,7.0,9.23389667361773,6512.836404000005,0.0
2024-10-31 19:00:00+00:00,-7.880000000000001,0.6554344216488368,2.4441027860029365,8.88,12.667181852925129,1.0,14.269130948919274,12920.748868000002,0.0
2024-10-31 20:00:00+00:00,-5.28,0.6454294255427075,0.654488985021781,6.28,5.735738356035932,1.0,6.15816480566257,19352.51283599999,0.0
2024-10-31 21:00:00+00:00,0.0,0.6259030316818506,-0.5939634535463894,5.04,4.195826766509056,5.04,3.8240632402261485,25758.432472000004,0.0
2024-10-31 22:00:00+00:00,0.0,0.6054065567146163,-1.2649464654917648,3.94,-6.037422749920731,3.94,-6.803229634022425,32034.002418,-3.637978807091713e-12
2024-10-31 23:00:00+00:00,0.0,0.5946386953943392,-1.8357794519737296,1.71,6.670371425451641,1.71,5.578745927098248,32034.002418,0.0
2024-11-01 00:00:00+00:00,-2.48,0.6162600488090872,-0.9086240887748734,1.51,-13.264968459005301,-0.97,-13.824917184302818,32034.002418,32034.002418
2024-11-01 01:00:00+00:00,-2.13,0.5597261050281408,-3.417668583223025,1.16,1.7707008500236587,-0.97,-0.14225747434080915,32034.002418,0.0
2024-11-01 02:00:00+00:00,-2.01,0.5587745519557716,-3.8503611729742055,1.03,-2.4936914375912975,-0.98,-4.6451752768878585,32034.002418,0.0
2024-11-01 03:00:00+00:00,2.5,0.5557247171638228,-3.8058306510931144,1.0,2.117655296217105,3.5,0.0026611340649767,32034.002418,0.0
2024-11-01 04:00:00+00:00,0.0,0.5599924109664293,-3.5211942358357384,1.12,-3.0496301481842387,1.12,-5.021472197790987,32034.002418,0.0
2024-11-01 05:00:00+00:00,1.3399999999999999,0.5719047248107615,-0.7980158639837716,2.16,-3.939007236947371,3.5,-4.395396280033632,24071.524302000027,0.0
2024-11-01 06:00:00+00:00,-3.18,0.5845187744468142,2.790038973225715,3.18,0.04577072515574088,0.0,1.6766008864444837,16127.736741999996,0.0
2024-11-01 07:00:00+00:00,-5.32,0.5871706195958595,3.3261394203360046,3.32,-2.0213653260556357,-2.0,-0.06835398175473095,8154.343984000002,0.0
2024-11-01 08:00:00+00:00,-4.66,0.5858790047165577,1.5535668114215422,2.66,-4.039401904876625,-2.0,-3.129199727640296,130.11946800000007,0.0
2024-11-01 09:00:00+00:00,-4.49,0.6003880496005232,3.190134913807868,2.49,11.285676970254555,-2.0,13.200995849118193,0.0,0.0
2024-11-01 17:00:00+00:00,10.0,0.6531432022273272,4.151250997407848,10.0,14.993642735343053,20.0,17.7050041050394,109.468738,0.0
2024-11-01 18:00:00+00:00,0.0,0.7826724571781767,4.721199667354025,6.13,13.080698551487302,6.13,16.775851495964066,6512.836404000005,0.0
2024-11-01 19:00:00+00:00,0.0,0.6863333083241803,3.9244163995547985,4.68,-1.362404063203373,4.68,1.33105362754474,12920.748868000002,0.0
2024-11-01 20:00:00+00:00,0.0,0.6817068203095038,4.123603675403077,1.21,21.593015181932593,1.21,24.404103931708207,19352.51283599999,0.0
2024-11-01 21:00:00+00:00,2.84,0.664255272052485,2.049454462590456,0.66,-6.793331937854113,3.5,-5.4319710062469095,25758.432472000004,0.0
2024-11-01 22:00:00+00:00,6.0,0.6511247635137092,1.8026230929252076,0.0,-5.949588809734224,6.0,-4.775856274648947,32034.002418,0.0
2024-11-01 23:00:00+00:00,6.24,0.6448909439844828,0.4878254561667856,-0.24,-10.753803382262031,6.0,-10.439209163334972,32034.002418,32034.002418
